,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
520,Vila Isabel,3,0,0,82,1200.0,664.0,86.0
523,Freguesia (Jacarepaguá),3,1,1,90,1700.0,595.0,0.0
557,Bonsucesso,3,1,0,98,2800.0,390.0,0.0
612,Grajaú,3,2,1,90,2950.0,700.0,100.0
640,Humaitá,3,1,0,95,2300.0,1300.0,120.0
687,Barra da Tijuca,3,1,3,80,2800.0,1300.0,0.0
701,Recreio dos Bandeirantes,4,2,2,160,1900.0,830.0,0.0
713,Tijuca,3,1,1,106,2050.0,872.0,1008.0
731,Freguesia (Jacarepaguá),3,1,1,77,2000.0,580.0,80.0
735,Recreio dos Bandeirantes,3,2,1,185,2500.0,1355.0,2917.0
747,Recreio dos Bandeirantes,3,3,1,180,1300.0,1635.0,320.0
750,Barra da Tijuca,3,2,3,120,2800.0,1280.0,360.0
761,São Francisco Xavier,3,1,0,90,1900.0,210.0,160.0
767,Tijuca,3,0,0,98,1700.0,390.0,93.0
772,Vila Valqueire,3,2,1,129,2200.0,755.0,195.0
789,Recreio dos Bandeirantes,3,1,1,80,1700.0,900.0,195.0
820,Barra da Tijuca,3,1,1,75,1900.0,750.0,60.0
845,Tijuca,3,0,0,86,1500.0,690.0,83.0
904,Tijuca,3,2,1,150,2000.0,1700.0,210.0
915,Vila Isabel,3,1,0,95,1250.0,650.0,60.0
928,Recreio dos Bandeirantes,3,1,1,82,2000.0,989.0,1313.0
1013,Camorim,3,1,1,75,2100.0,680.0,0.0
1018,Vila Isabel,3,1,2,79,2200.0,622.0,122.0
1020,Tijuca,3,2,1,109,2500.0,742.0,105.0
1028,Jacarepaguá,3,1,1,78,2000.0,1200.0,110.0
1040,Freguesia (Jacarepaguá),3,1,1,81,1800.0,750.0,110.0
1055,Barra da Tijuca,3,2,3,102,2700.0,1523.0,2944.0
1082,Barra da Tijuca,4,2,1,115,2800.0,1800.0,250.0
1097,Recreio dos Bandeirantes,3,2,1,80,2000.0,750.0,370.0
1109,Recreio dos Bandeirantes,3,2,3,180,1700.0,1080.0,390.0
1119,Tijuca,3,1,2,100,2500.0,1300.0,283.0
1123,Recreio dos Bandeirantes,4,2,1,200,2950.0,1000.0,350.0
1133,Recreio dos Bandeirantes,3,2,1,120,2700.0,790.0,200.0
1151,Méier,3,1,0,100,1000.0,600.0,100.0
1153,Barra da Tijuca,3,2,1,110,2000.0,1768.0,277.0
1164,Tijuca,3,0,0,80,1600.0,350.0,0.0
1197,Tijuca,3,2,1,120,2800.0,1600.0,170.0
1204,Tijuca,3,1,0,81,1750.0,597.0,94.0
1221,Tijuca,3,0,0,80,1600.0,660.0,98.0
1243,Recreio dos Bandeirantes,3,2,2,148,2500.0,780.0,230.0
1263,Tijuca,3,1,1,82,1800.0,1100.0,112.0
1274,Recreio dos Bandeirantes,3,1,2,75,1500.0,1095.0,153.0
1282,Tijuca,3,0,3,110,2800.0,250.0,235.0
1302,Barra da Tijuca,3,2,1,172,2300.0,1600.0,450.0
1310,Tijuca,3,2,1,85,2350.0,900.0,96.0
1327,Tijuca,3,1,1,126,1800.0,1109.0,162.0
1343,Recreio dos Bandeirantes,3,1,1,82,2200.0,740.0,138.0
1353,Recreio dos Bandeirantes,3,2,1,78,1650.0,500.0,0.0
1380,Recreio dos Bandeirantes,3,2,1,145,2500.0,676.0,0.0
1425,Tijuca,3,2,1,102,2600.0,798.0,89.0
1426,Barra da Tijuca,3,1,1,90,2850.0,850.0,130.0
1433,Centro,3,1,0,95,2000.0,867.0,72.0
1453,Tijuca,3,1,0,125,2500.0,1100.0,200.0
1463,Tijuca,3,1,0,98,2200.0,630.0,0.0
1489,Recreio dos Bandeirantes,3,2,1,109,2500.0,842.0,192.0
1516,Jardim Guanabara,3,2,1,127,2500.0,620.0,293.0
1539,Copacabana,4,0,0,103,2800.0,953.0,240.0
1565,Recreio dos Bandeirantes,3,2,1,84,2150.0,711.0,19.0
1569,Barra da Tijuca,3,2,1,112,2200.0,1752.0,256.0
1623,Barra da Tijuca,4,2,1,121,2800.0,1190.0,209.0
1624,Recreio dos Bandeirantes,3,1,1,83,2000.0,790.0,1655.0
1637,Pechincha,3,1,1,85,1300.0,765.0,0.0
1691,Recreio dos Bandeirantes,3,2,1,220,2500.0,1000.0,500.0
1715,Pilares,3,2,1,82,2200.0,630.0,70.0
1770,Andaraí,3,2,1,103,1600.0,700.0,160.0
1805,Barra da Tijuca,3,1,1,103,2600.0,1350.0,230.0
1855,Barra da Tijuca,3,1,3,80,2800.0,1300.0,140.0
1881,Tijuca,4,1,1,190,2800.0,900.0,180.0
1889,Barra da Tijuca,3,1,1,86,2000.0,759.0,0.0
1914,Bonsucesso,3,1,0,87,1000.0,755.0,29.0
1939,Botafogo,3,1,0,110,2500.0,1300.0,0.0
1953,Copacabana,3,0,0,120,2300.0,1900.0,2362.0
1979,Recreio dos Bandeirantes,3,0,1,79,2500.0,796.0,0.0
1981,Barra da Tijuca,3,1,1,98,2400.0,1380.0,150.0
2035,Barra da Tijuca,3,2,1,93,2500.0,1450.0,166.0
2038,Recreio dos Bandeirantes,3,2,1,150,2300.0,600.0,350.0
2068,Méier,3,1,0,85,1300.0,755.0,70.0
2130,Andaraí,3,0,1,97,1650.0,263.0,100.0
2136,Vila da Penha,3,1,1,90,2200.0,250.0,50.0
2145,Tijuca,3,1,1,140,1800.0,1147.0,0.0
2148,Barra da Tijuca,3,1,0,80,1700.0,1031.0,2195.0
2155,Tijuca,3,1,0,140,2300.0,680.0,114.0
2192,Barra da Tijuca,3,2,1,105,2300.0,1500.0,0.0
2194,Recreio dos Bandeirantes,3,2,2,90,1950.0,715.0,154.0
2195,Tijuca,3,1,0,80,1900.0,700.0,60.0
2197,Recreio dos Bandeirantes,3,2,1,80,1900.0,650.0,137.0
2202,Copacabana,3,1,0,81,2500.0,1000.0,1736.0
2217,Laranjeiras,3,1,1,150,2700.0,1570.0,180.0
2221,Recreio dos Bandeirantes,3,0,1,85,2100.0,791.0,0.0
2247,Pechincha,3,0,0,78,1500.0,726.0,80.0
2260,Freguesia (Jacarepaguá),3,2,1,158,2500.0,1600.0,262.0
2261,Copacabana,3,1,1,90,2800.0,1200.0,150.0
2283,Jardim Guanabara,3,2,1,125,2680.0,500.0,345.0
2292,Recreio dos Bandeirantes,3,3,1,128,2800.0,914.0,236.0
2293,Recreio dos Bandeirantes,3,1,1,90,1950.0,900.0,100.0
2299,Tijuca,3,1,0,107,2300.0,400.0,0.0
2311,Engenho de Dentro,3,1,0,75,1000.0,650.0,0.0
2328,Barra da Tijuca,3,2,2,83,2400.0,607.0,1400.0
2338,Recreio dos Bandeirantes,3,1,1,76,2200.0,780.0,120.0
2351,Tijuca,3,1,1,87,2300.0,559.0,100.0
2352,Recreio dos Bandeirantes,3,1,1,130,2800.0,7366.0,157.0
2364,Barra da Tijuca,4,2,1,115,2800.0,1890.0,250.0
2366,Vila Valqueire,3,1,0,94,1450.0,300.0,0.0
2367,Tijuca,4,1,0,160,2000.0,1032.0,1056.0
2394,Barra da Tijuca,3,2,3,145,2900.0,1800.0,0.0
2401,Recreio dos Bandeirantes,3,1,1,84,2000.0,810.0,0.0
2440,Gávea,3,0,1,120,2700.0,880.0,238.0
2459,Tijuca,3,2,1,135,2000.0,920.0,2400.0
2464,Pechincha,3,2,1,113,1300.0,840.0,0.0
2470,Recreio dos Bandeirantes,3,1,1,91,1900.0,550.0,0.0
2511,Recreio dos Bandeirantes,3,3,1,120,2600.0,930.0,380.0
2521,Recreio dos Bandeirantes,3,1,1,81,1900.0,1014.0,80.0
2523,Pechincha,3,1,1,108,1350.0,900.0,114.0
2526,Barra da Tijuca,3,2,1,98,2800.0,1520.0,110.0
2533,Cachambi,3,1,0,77,1300.0,420.0,25.0
2540,Vila Valqueire,3,3,1,130,2000.0,275.0,0.0
2546,Centro,3,2,1,120,2500.0,1500.0,208.0
2564,Tijuca,3,1,0,105,2200.0,684.0,132.0
2567,Todos os Santos,3,1,1,78,1300.0,571.0,0.0
2580,Tijuca,3,1,0,75,1900.0,510.0,0.0
2591,Barra da Tijuca,3,2,1,90,2800.0,1517.0,359.0
2603,Copacabana,3,1,0,138,2800.0,1501.0,318.0
2605,Recreio dos Bandeirantes,3,2,1,120,2200.0,550.0,174.0
2626,Barra da Tijuca,3,1,1,88,2300.0,803.0,0.0
2629,Tijuca,3,2,0,74,2500.0,713.0,95.0
2656,Freguesia (Jacarepaguá),3,1,1,100,2500.0,912.0,132.0
2669,Recreio dos Bandeirantes,3,3,1,300,2900.0,1000.0,784.0
2672,Tijuca,3,0,0,120,1800.0,616.0,118.0
2689,Recreio dos Bandeirantes,3,2,1,87,2600.0,777.0,224.0
2703,Recreio dos Bandeirantes,3,1,1,76,1800.0,850.0,150.0
2713,Recreio dos Bandeirantes,3,2,1,91,1900.0,1200.0,170.0
2718,Recreio dos Bandeirantes,3,2,1,124,2300.0,750.0,250.0
2720,Barra da Tijuca,3,1,1,92,2500.0,1200.0,1732.0
2739,Recreio dos Bandeirantes,3,1,1,90,2000.0,800.0,257.0
2769,Freguesia (Jacarepaguá),3,2,1,128,2800.0,1000.0,0.0
2779,Leme,3,0,0,155,2800.0,1300.0,291.0
2789,Ipanema,3,0,0,90,2600.0,1310.0,155.0
2820,Recreio dos Bandeirantes,3,2,1,132,2500.0,673.0,0.0
2821,Laranjeiras,3,0,0,111,2300.0,767.0,127.0
2824,Recreio dos Bandeirantes,3,3,1,86,1500.0,916.0,180.0
2832,Tijuca,3,0,0,120,2400.0,686.0,78.0
2841,Jardim Botânico,3,0,0,85,2500.0,790.0,0.0
2882,Tijuca,3,1,0,115,2250.0,1000.0,175.0
2892,Freguesia (Jacarepaguá),3,2,1,132,1800.0,1100.0,100.0
2895,Recreio dos Bandeirantes,3,1,1,96,2200.0,715.0,153.0
2903,Recreio dos Bandeirantes,3,2,1,88,2500.0,900.0,600.0
2915,Barra da Tijuca,3,1,2,97,2550.0,1306.0,256.0
2931,Recreio dos Bandeirantes,3,2,3,91,2500.0,650.0,100.0
2939,Copacabana,3,0,1,115,2900.0,950.0,102.0
2944,Botafogo,3,0,0,157,2700.0,970.0,200.0
2979,Barra da Tijuca,3,1,1,102,2500.0,1300.0,0.0
3000,Tijuca,4,1,2,190,2000.0,1247.0,353.0
3007,Recreio dos Bandeirantes,3,2,1,100,2100.0,500.0,0.0
3014,Vila Isabel,3,1,0,80,1300.0,720.0,70.0
3046,Tijuca,3,0,0,75,1500.0,877.0,36.0
3047,Tijuca,3,0,0,75,2200.0,750.0,68.0
3065,Vila Isabel,3,1,1,110,1800.0,835.0,99.0
3086,Copacabana,3,1,1,110,2600.0,1100.0,150.0
3093,Recreio dos Bandeirantes,3,2,1,110,1700.0,644.0,213.0
3109,Rio Comprido,3,1,1,144,2499.0,100.0,125.0
3117,Tijuca,3,2,0,74,2500.0,785.0,93.0
3118,Bonsucesso,3,0,0,110,1500.0,420.0,268.0
3119,Tijuca,3,1,1,150,2500.0,1200.0,175.0
3142,Recreio dos Bandeirantes,3,2,1,170,2500.0,1017.0,280.0
3186,Tijuca,3,1,0,100,1700.0,840.0,110.0
3192,Recreio dos Bandeirantes,3,3,2,180,2700.0,760.0,450.0
3212,Tijuca,3,1,0,90,2350.0,747.0,0.0
3241,Maracanã,3,2,1,98,2100.0,910.0,180.0
3275,Tijuca,3,1,1,90,2000.0,887.0,123.0
3304,Recreio dos Bandeirantes,3,2,1,99,1900.0,1110.0,0.0
3308,Recreio dos Bandeirantes,3,1,1,83,2300.0,1200.0,195.0
3310,Tijuca,3,0,1,100,1800.0,850.0,130.0
3313,Tijuca,3,1,1,96,1950.0,500.0,93.0
3321,Pechincha,3,1,1,76,1450.0,652.0,742.0
3337,Tijuca,3,0,0,105,2200.0,512.0,128.0
3345,Recreio dos Bandeirantes,4,2,1,180,2700.0,900.0,0.0
3353,Laranjeiras,3,1,0,130,2650.0,1010.0,214.0
3360,Recreio dos Bandeirantes,3,2,1,85,2200.0,708.0,1352.0
3383,Recreio dos Bandeirantes,3,1,1,80,2500.0,800.0,0.0
3403,Recreio dos Bandeirantes,3,2,1,151,2000.0,1126.0,0.0
3427,Freguesia (Jacarepaguá),3,2,2,166,2000.0,1618.0,222.0
3466,Pechincha,3,1,1,90,1000.0,800.0,120.0
3468,Botafogo,3,0,0,83,2800.0,294.0,110.0
3489,Vila Isabel,3,1,1,89,2100.0,750.0,0.0
3491,Recreio dos Bandeirantes,4,4,1,145,2000.0,1350.0,390.0
3492,Copacabana,3,0,0,119,2500.0,1140.0,0.0
3494,Freguesia (Jacarepaguá),3,1,1,71,1600.0,500.0,0.0
3495,Tijuca,3,1,1,80,1750.0,850.0,125.0
3509,Tijuca,3,1,1,85,2300.0,569.0,0.0
3510,Jacarepaguá,4,2,3,245,2700.0,1380.0,145.0
3524,Freguesia (Jacarepaguá),3,2,2,134,2500.0,1200.0,0.0
3526,Recreio dos Bandeirantes,3,2,0,85,1800.0,924.0,155.0
3527,Copacabana,3,1,0,100,2700.0,1079.0,129.0
3537,Copacabana,3,0,0,110,2700.0,1000.0,25.0
3546,Tijuca,3,0,0,85,1600.0,515.0,0.0
3558,Recreio dos Bandeirantes,3,3,3,189,2500.0,922.0,420.0
3563,Copacabana,3,1,0,110,2900.0,1365.0,160.0
3568,Santa Teresa,3,0,0,83,1700.0,604.0,0.0
3602,Maracanã,3,0,1,114,1900.0,570.0,87.0
3604,Méier,3,1,0,85,1300.0,770.0,72.0
3630,Recreio dos Bandeirantes,4,4,2,170,2600.0,1180.0,260.0
3633,Tijuca,3,1,0,85,2200.0,850.0,92.0
3660,Vila Isabel,3,2,1,100,1400.0,750.0,102.0
3703,Tijuca,3,1,0,148,2500.0,1100.0,220.0
3709,Jardim Guanabara,3,0,0,115,1800.0,470.0,0.0
3711,Barra da Tijuca,3,2,3,100,1900.0,1498.0,127.0
3724,Botafogo,3,1,0,109,2500.0,927.0,174.0
3756,Barra da Tijuca,3,1,1,72,2000.0,630.0,0.0
3764,Pechincha,3,1,1,85,1050.0,982.0,102.0
3769,Barra da Tijuca,3,1,0,100,1800.0,1200.0,260.0
3818,Tijuca,3,1,0,100,2500.0,1277.0,0.0
3839,Freguesia (Jacarepaguá),4,0,2,112,2400.0,648.0,0.0
3885,Tijuca,3,1,0,125,2500.0,1100.0,200.0
3888,Barra da Tijuca,3,1,3,80,2750.0,1200.0,0.0
3911,Laranjeiras,3,0,0,95,2500.0,575.0,93.0
3924,Leme,3,0,0,135,2900.0,800.0,230.0
3935,Méier,3,1,1,102,1900.0,890.0,135.0
3950,Barra da Tijuca,3,1,1,100,2800.0,1485.0,257.0
3958,Barra da Tijuca,3,2,2,96,1900.0,750.0,250.0
3987,Jacarepaguá,3,1,1,100,2200.0,1200.0,189.0
3990,Humaitá,3,0,1,100,2700.0,1560.0,105.0
3997,Freguesia (Jacarepaguá),3,1,1,80,1500.0,680.0,159.0
4010,Recreio dos Bandeirantes,3,1,1,105,2200.0,650.0,250.0
4025,Barra da Tijuca,3,2,1,96,2800.0,1200.0,193.0
4032,Barra da Tijuca,3,2,1,193,2500.0,3800.0,863.0
4034,Recreio dos Bandeirantes,3,2,1,120,2000.0,700.0,2500.0
4047,Freguesia (Jacarepaguá),3,2,1,95,2000.0,700.0,110.0
4052,Vargem Pequena,3,1,1,78,1600.0,550.0,90.0
4099,Engenho Novo,3,1,0,130,1300.0,700.0,0.0
4116,Laranjeiras,3,1,1,90,2200.0,1294.0,0.0
4145,Tijuca,3,1,0,72,1950.0,200.0,83.0
4150,Copacabana,3,0,0,88,2900.0,713.0,171.0
4196,Recreio dos Bandeirantes,3,2,1,163,2499.0,1456.0,403.0
4212,Barra da Tijuca,3,1,1,74,1800.0,620.0,0.0
4254,Campo Grande,3,2,1,143,2300.0,750.0,0.0
4261,Méier,3,2,1,100,2700.0,826.0,16.0
4268,Tijuca,3,1,0,170,2500.0,780.0,178.0
4275,Jacarepaguá,3,0,0,200,1500.0,181.0,6.0
4279,Tijuca,3,1,1,145,2800.0,1000.0,192.0
4284,Recreio dos Bandeirantes,3,2,1,120,2300.0,711.0,221.0
4292,Recreio dos Bandeirantes,3,2,2,177,2500.0,1500.0,413.0
4297,Laranjeiras,3,1,0,135,2700.0,1513.0,251.0
4302,Vargem Pequena,3,2,1,124,2500.0,700.0,0.0
4309,Todos os Santos,3,1,1,75,1500.0,462.0,73.0
4320,Tijuca,3,0,1,90,1500.0,935.0,97.0
4323,Recreio dos Bandeirantes,3,1,1,83,1800.0,950.0,213.0
4329,Tijuca,3,1,1,110,2900.0,1100.0,182.0
4335,Recreio dos Bandeirantes,3,3,1,240,2899.0,1600.0,490.0
4345,Copacabana,3,0,0,100,2500.0,1055.0,300.0
4352,Tijuca,3,0,0,80,2500.0,450.0,65.0
4375,Jardim Guanabara,3,1,1,140,2000.0,610.0,0.0
4385,Jacarepaguá,3,1,1,82,2200.0,730.0,120.0
4386,Recreio dos Bandeirantes,3,1,1,76,1800.0,850.0,120.0
4394,Recreio dos Bandeirantes,3,2,1,90,1800.0,1222.0,158.0
4404,São Conrado,3,2,1,115,2400.0,2000.0,180.0
4435,Pechincha,3,1,1,73,1600.0,750.0,0.0
4473,Recreio dos Bandeirantes,3,1,1,84,1800.0,850.0,150.0
4478,Barra da Tijuca,3,2,1,89,1900.0,770.0,116.0
4479,Barra da Tijuca,3,2,1,80,1690.0,1100.0,130.0
4558,Recreio dos Bandeirantes,3,2,3,93,2500.0,470.0,0.0
4560,Tijuca,3,1,1,160,2800.0,800.0,0.0
4565,São Conrado,3,1,1,114,2400.0,1082.0,253.0
4567,Copacabana,3,1,0,110,2500.0,1350.0,130.0
4569,Leme,3,1,0,88,2000.0,391.0,56.0
4592,Freguesia (Jacarepaguá),3,2,1,132,1900.0,1115.0,137.0
4602,Copacabana,3,0,0,105,2600.0,1011.0,177.0
4607,Méier,3,0,0,100,1500.0,100.0,0.0
4622,Rocha,3,1,0,81,1400.0,655.0,16.0
4640,Recreio dos Bandeirantes,3,2,1,74,1500.0,1071.0,163.0
4642,Santa Teresa,3,0,0,149,2000.0,890.0,52.0
4643,Barra da Tijuca,3,1,1,73,1700.0,616.0,29.0
4660,Copacabana,3,1,0,92,2500.0,1100.0,110.0
4663,Recreio dos Bandeirantes,3,2,1,121,2500.0,1123.0,0.0
4707,Recreio dos Bandeirantes,3,3,1,140,2800.0,760.0,3500.0
4722,Copacabana,3,1,1,92,2500.0,1100.0,1512.0
4730,Recreio dos Bandeirantes,3,2,1,105,1800.0,650.0,0.0
4753,Freguesia (Jacarepaguá),3,2,1,90,1900.0,1075.0,99.0
4774,Ipanema,3,0,0,90,2500.0,1310.0,223.0
4791,Flamengo,3,0,1,107,2800.0,1100.0,150.0
4812,Piedade,3,0,0,75,950.0,87.0,14.0
4819,Ipanema,3,0,0,90,2800.0,1400.0,180.0
4838,Tijuca,3,0,1,126,2600.0,846.0,224.0
4843,Barra da Tijuca,3,2,1,105,2800.0,1630.0,262.0
4867,Vila Valqueire,3,1,1,146,2200.0,630.0,167.0
4885,Recreio dos Bandeirantes,3,2,1,80,2300.0,350.0,0.0
4900,Recreio dos Bandeirantes,3,2,1,109,2400.0,470.0,0.0
4942,Catete,3,0,0,95,2200.0,1043.0,96.0
4943,Tijuca,3,2,0,104,2500.0,1238.0,164.0
4951,Recreio dos Bandeirantes,3,3,3,180,2800.0,1130.0,494.0
4959,Flamengo,3,1,0,123,2800.0,942.0,173.0
5001,Recreio dos Bandeirantes,3,1,1,80,2500.0,830.0,100.0
5015,Recreio dos Bandeirantes,3,2,1,120,1900.0,670.0,315.0
5027,Freguesia (Jacarepaguá),3,1,1,95,1600.0,840.0,226.0
5066,Tijuca,3,1,0,95,2300.0,710.0,0.0
5100,Recreio dos Bandeirantes,3,2,1,113,2500.0,560.0,243.0
5117,Humaitá,3,1,0,90,2000.0,948.0,151.0
5139,Tijuca,3,0,0,100,2200.0,600.0,0.0
5147,Barra da Tijuca,3,1,1,76,1700.0,800.0,0.0
5159,Barra da Tijuca,4,2,1,103,2700.0,1600.0,134.0
5164,Vila Isabel,3,1,0,75,1600.0,774.0,0.0
5189,Copacabana,3,1,0,86,2200.0,1360.0,176.0
5195,Recreio dos Bandeirantes,3,2,1,75,2200.0,750.0,175.0
5201,Grajaú,3,2,1,250,2700.0,930.0,0.0
5207,Botafogo,3,2,1,120,2900.0,1839.0,355.0
5225,Recreio dos Bandeirantes,3,2,3,198,1500.0,1571.0,400.0
5228,Recreio dos Bandeirantes,3,1,1,102,2000.0,600.0,250.0
5241,Barra da Tijuca,4,2,2,114,2000.0,1174.0,130.0
5247,Botafogo,3,1,1,130,2600.0,1200.0,100.0
5248,Barra da Tijuca,3,2,0,89,2150.0,1200.0,219.0
5249,Santa Teresa,3,0,0,90,2700.0,365.0,10.0
5263,Recreio dos Bandeirantes,3,2,2,110,2700.0,1300.0,250.0
5300,Rocha Miranda,3,1,1,90,1200.0,250.0,0.0
5304,Rio Comprido,3,1,1,79,2400.0,1095.0,0.0
5335,Estácio,3,0,0,105,1900.0,677.0,0.0
5337,Copacabana,3,0,1,73,2300.0,1188.0,131.0
5370,Laranjeiras,3,0,1,118,2100.0,1627.0,203.0
5394,Barra da Tijuca,4,2,1,148,2500.0,1900.0,238.0
5477,Andaraí,3,0,0,110,1800.0,620.0,125.0
5479,Vargem Pequena,3,0,1,79,1600.0,500.0,900.0
5493,Tijuca,3,0,1,118,2500.0,840.0,0.0
5495,Barra da Tijuca,4,2,1,105,2800.0,1050.0,2200.0
5499,Recreio dos Bandeirantes,3,2,1,127,2500.0,1100.0,0.0
5503,São Conrado,3,2,1,114,2200.0,1373.0,0.0
5534,Copacabana,3,1,0,137,2100.0,905.0,207.0
5538,Barra da Tijuca,3,2,1,90,2500.0,1770.0,3080.0
5549,Copacabana,3,0,1,130,2500.0,1044.0,290.0
5608,São Conrado,3,1,1,114,2250.0,1600.0,220.0
5609,Freguesia (Jacarepaguá),3,1,1,84,1500.0,900.0,0.0
5620,Copacabana,3,0,0,106,2800.0,910.0,210.0
5627,Rio Comprido,3,1,0,90,1400.0,500.0,15.0
5628,Laranjeiras,3,0,0,96,2600.0,700.0,0.0
5682,Recreio dos Bandeirantes,3,1,1,80,1700.0,680.0,148.0
5695,Tijuca,3,1,0,90,1300.0,670.0,0.0
5701,Tijuca,3,0,0,119,1900.0,605.0,173.0
5706,Tijuca,3,1,1,88,2200.0,871.0,0.0
5754,Recreio dos Bandeirantes,3,2,1,112,2600.0,650.0,0.0
5775,Recreio dos Bandeirantes,3,2,1,100,1800.0,650.0,0.0
5784,Recreio dos Bandeirantes,3,2,1,100,1800.0,700.0,130.0
5794,Recreio dos Bandeirantes,3,3,3,180,2650.0,1036.0,390.0
5806,Tijuca,3,1,0,107,2100.0,480.0,0.0
5814,Campo Grande,3,1,1,80,1200.0,600.0,11.0
5829,Tijuca,3,1,1,130,2800.0,950.0,0.0
5831,Recreio dos Bandeirantes,3,2,1,110,2500.0,620.0,0.0
5832,Tijuca,3,1,0,89,2300.0,889.0,122.0
5852,Campo Grande,4,2,1,115,1900.0,500.0,0.0
5857,Tijuca,3,1,0,90,2100.0,987.0,0.0
5870,Copacabana,3,1,0,101,2800.0,1480.0,220.0
5872,Freguesia (Jacarepaguá),3,1,1,76,1500.0,680.0,73.0
5878,Recreio dos Bandeirantes,3,3,1,130,1900.0,635.0,500.0
5896,Barra da Tijuca,3,2,2,83,2400.0,610.0,1400.0
5902,Recreio dos Bandeirantes,3,2,1,90,1700.0,520.0,0.0
5945,Flamengo,3,0,0,140,2900.0,1150.0,279.0
5978,Tijuca,3,0,0,84,1200.0,400.0,102.0
6003,Freguesia (Jacarepaguá),3,1,1,90,1700.0,722.0,180.0
6005,Recreio dos Bandeirantes,3,2,1,100,1800.0,865.0,110.0
6019,Barra da Tijuca,3,2,1,145,2900.0,1800.0,350.0
6020,Freguesia (Jacarepaguá),3,1,1,80,1800.0,600.0,100.0
6029,Vila Valqueire,3,0,0,73,960.0,63.0,0.0
6042,Ilha do Governador,3,1,1,100,1700.0,550.0,90.0
6048,Rio Comprido,3,0,0,100,1600.0,300.0,60.0
6085,Copacabana,3,1,0,122,2700.0,1402.0,187.0
6110,Barra da Tijuca,3,2,1,122,2600.0,995.0,258.0
6119,Recreio dos Bandeirantes,3,2,2,86,1900.0,779.0,121.0
6152,Jacarepaguá,3,2,1,111,1300.0,1100.0,150.0
6188,Laranjeiras,3,0,0,112,1900.0,995.0,171.0
6242,Cachambi,3,1,1,74,1500.0,577.0,0.0
6276,Recreio dos Bandeirantes,3,2,1,76,2350.0,537.0,154.0
6280,Tijuca,3,2,1,110,2300.0,1200.0,170.0
